AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2020,2,25,CUNDINAMARCA,25269,FACATATIVA,21572,155978,"0,1383"
2021,3,15,BOYACA,15299,GARAGOA,1165,18455,"0,0631"
2021,3,94,GUAINIA,94883,SAN FELIPE,14,1753,"0,008"
2021,3,91,AMAZONAS,91798,TARAPACA,21,3970,"0,0053"
2022,3,63,QUINDIO,63401,LA TEBAIDA,5017,35692,"0,1406"
2021,2,25,CUNDINAMARCA,25377,LA CALERA,8503,34224,"0,2485"
2021,3,25,CUNDINAMARCA,25841,UBAQUE,76,7348,"0,0103"
2021,2,05,ANTIOQUIA,05658,SAN JOSE DE LA MONTA�A,469,3823,"0,1227"
2021,3,15,BOYACA,15621,RONDON,6,2390,"0,0025"
2021,3,52,NARI�O,52687,SAN LORENZO,314,18395,"0,0171"
2021,3,68,SANTANDER,68245,EL GUACAMAYO,75,2108,"0,0356"
2020,2,25,CUNDINAMARCA,25175,CHIA,39854,149570,"0,2665"
2021,1,68,SANTANDER,68418,LOS SANTOS,240,14954,"0,016"
2020,3,15,BOYACA,15600,RAQUIRA,158,8028,"0,0197"
2021,3,50,META,50450,PUERTO CONCORDIA,31,8640,"0,0036"
2021,2,13,BOLIVAR,13442,MARIA LA BAJA,1697,49163,"0,0345"
2021,3,25,CUNDINAMARCA,25398,LA PE�A,29,6337,"0,0046"
2021,2,15,BOYACA,15162,CERINZA,286,3732,"0,0766"
2021,3,88,SAN ANDRES Y PROVIDENCIA,88001,SAN ANDRES,4373,58316,"0,075"
2021,3,91,AMAZONAS,91001,LETICIA,1186,50811,"0,0233"
2021,3,68,SANTANDER,68872,VILLANUEVA,900,8070,"0,1115"
2021,3,94,GUAINIA,94888,MORICHAL,1,968,"0,001"
2021,3,52,NARI�O,52411,LINARES,203,10010,"0,0203"
2021,2,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1871,57004,"0,0328"
2021,3,94,GUAINIA,94343,BARRANCO MINAS,10,9104,"0,0011"
2021,3,68,SANTANDER,68211,CONTRATACION,419,3740,"0,112"
2020,3,15,BOYACA,15407,VILLA DE LEYVA,1490,16973,"0,0878"
2021,3,94,GUAINIA,94001,INIRIDA,1149,34401,"0,0334"
2021,3,68,SANTANDER,68549,PINCHOTE,129,5445,"0,0237"
2021,3,13,BOLIVAR,13600,RIO VIEJO,751,10892,"0,0689"
2020,4,15,BOYACA,15507,OTANCHE,320,8004,"0,04"
2021,3,99,VICHADA,99624,SANTA ROSALIA,14,4252,"0,0033"
2020,3,54,NORTE DE SANTANDER,54313,GRAMALOTE,269,7694,"0,035"
2021,3,68,SANTANDER,68152,CARCASI,16,4306,"0,0037"
2020,2,15,BOYACA,15507,OTANCHE,327,8004,"0,0409"
2021,3,15,BOYACA,15317,GUACAMAYAS,6,1847,"0,0032"
2021,3,68,SANTANDER,68673,SAN BENITO,7,3005,"0,0023"
2022,1,25,CUNDINAMARCA,25430,MADRID,43947,136374,"0,3223"
2020,2,25,CUNDINAMARCA,25214,COTA,8625,36992,"0,2332"
2021,3,52,NARI�O,52260,EL TAMBO,1139,13806,"0,0825"
2020,2,25,CUNDINAMARCA,25785,TABIO,3239,24206,"0,1338"
2020,2,25,CUNDINAMARCA,25772,SUESCA,550,18741,"0,0293"
2021,3,15,BOYACA,15798,TENZA,93,3848,"0,0242"
2020,1,25,CUNDINAMARCA,25214,COTA,8182,36992,"0,2212"
2022,3,52,NARI�O,52036,ANCUYA,15,8610,"0,0017"
2020,4,15,BOYACA,15753,SOATA,793,8832,"0,0898"
2020,4,15,BOYACA,15600,RAQUIRA,157,8028,"0,0196"
2021,3,25,CUNDINAMARCA,25095,BITUIMA,14,2670,"0,0052"
2020,4,23,CORDOBA,23001,MONTERIA,63828,505334,"0,1263"
2021,3,05,ANTIOQUIA,05313,GRANADA,3228,9915,"0,3256"
2022,2,27,CHOCO,27135,EL CANTON DEL SAN PABLO,26,6388,"0,0041"
2020,2,15,BOYACA,15693,SANTA ROSA DE VITERBO,172,13325,"0,0129"
2021,3,15,BOYACA,15325,GUAYATA,89,3415,"0,0261"
2020,2,25,CUNDINAMARCA,25758,SOPO,4041,28999,"0,1393"
2021,3,91,AMAZONAS,91530,PUERTO ALEGRIA,1,777,"0,0013"
2021,3,15,BOYACA,15879,VIRACACHA,36,2829,"0,0127"
2021,2,76,VALLE DEL CAUCA,76233,DAGUA,6620,49279,"0,1343"
2021,3,85,CASANARE,85430,TRINIDAD,567,13573,"0,0418"
2020,1,25,CUNDINAMARCA,25817,TOCANCIPA,6754,45714,"0,1477"
2020,3,23,CORDOBA,23001,MONTERIA,62604,505334,"0,1239"
2021,3,15,BOYACA,15861,VENTAQUEMADA,106,16210,"0,0065"
2021,3,15,BOYACA,15832,TUNUNGUA,6,1587,"0,0038"
2021,1,13,BOLIVAR,13442,MARIA LA BAJA,859,49163,"0,0175"
2021,3,86,PUTUMAYO,86760,SANTIAGO,232,7408,"0,0313"
2021,3,68,SANTANDER,68160,CEPITA,7,2047,"0,0034"
2020,1,76,VALLE DEL CAUCA,76622,ROLDANILLO,5032,36786,"0,1368"
2021,3,68,SANTANDER,68121,CABRERA,11,2043,"0,0054"
2021,2,05,ANTIOQUIA,05893,YONDO,1574,20426,"0,0771"
2022,1,44,LA GUAJIRA,44110,EL MOLINO,174,8178,"0,0213"
2021,3,19,CAUCA,19513,PADILLA,28,10072,"0,0028"
2021,2,47,MAGDALENA,47605,REMOLINO,151,12112,"0,0125"
2020,4,54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,16660,111254,"0,1497"
2021,3,68,SANTANDER,68344,HATO,58,2396,"0,0242"
2021,3,54,NORTE DE SANTANDER,54480,MUTISCUA,64,4593,"0,0139"
2021,3,68,SANTANDER,68498,OCAMONTE,17,5874,"0,0029"
2021,1,41,HUILA,41551,PITALITO,12297,129710,"0,0948"
2021,3,68,SANTANDER,68533,PARAMO,15,4924,"0,003"
2021,3,91,AMAZONAS,91536,PUERTO ARICA,4,1050,"0,0038"
2021,3,81,ARAUCA,81220,CRAVO NORTE,369,4242,"0,087"
2022,3,05,ANTIOQUIA,05361,ITUANGO,1215,28656,"0,0424"
2020,1,25,CUNDINAMARCA,25126,CAJICA,22394,92967,"0,2409"
2020,2,15,BOYACA,15753,SOATA,747,8832,"0,0846"
2022,1,76,VALLE DEL CAUCA,76113,BUGALAGRANDE,2214,24772,"0,0894"
2021,1,15,BOYACA,15790,TASCO,57,5833,"0,0098"
